name,hour,day,weekday,month,year,availableSpotNumber,total,occupation
El Palo,7,14,1,11,2021,80,127,0.37
Av. de Andalucía,7,14,1,11,2021,501,613,0.18
Camas,7,14,1,11,2021,194,350,0.45
Cruz De Humilladero,7,14,1,11,2021,93,217,0.57
Alcazaba,7,14,1,11,2021,186,378,0.51
San Juan De La Cruz,7,14,1,11,2021,311,487,0.36
Pz. de la Marina,7,14,1,11,2021,190,430,0.56
Tejón y Rodriguez,7,14,1,11,2021,103,187,0.45
Salitre,6,14,1,11,2021,263,435,0.4
Cervantes,6,14,1,11,2021,289,409,0.29
El Palo,6,14,1,11,2021,80,127,0.37
Av. de Andalucía,6,14,1,11,2021,501,613,0.18
Camas,6,14,1,11,2021,194,350,0.45
Cruz De Humilladero,6,14,1,11,2021,93,217,0.57
Alcazaba,6,14,1,11,2021,186,378,0.51
San Juan De La Cruz,6,14,1,11,2021,280,487,0.43
Pz. de la Marina,6,14,1,11,2021,190,430,0.56
Tejón y Rodriguez,6,14,1,11,2021,103,187,0.45
Salitre,5,14,1,11,2021,263,435,0.4
Cervantes,5,14,1,11,2021,289,409,0.29
El Palo,5,14,1,11,2021,80,127,0.37
Av. de Andalucía,5,14,1,11,2021,468,613,0.24
Camas,5,14,1,11,2021,194,350,0.45
Cruz De Humilladero,5,14,1,11,2021,93,217,0.57
Alcazaba,5,14,1,11,2021,186,378,0.51
San Juan De La Cruz,5,14,1,11,2021,280,487,0.43
Pz. de la Marina,5,14,1,11,2021,190,430,0.56
Tejón y Rodriguez,5,14,1,11,2021,106,187,0.43
Salitre,4,14,1,11,2021,263,435,0.4
Cervantes,4,14,1,11,2021,287,409,0.3
El Palo,4,14,1,11,2021,80,127,0.37
Av. de Andalucía,4,14,1,11,2021,468,613,0.24
Camas,4,14,1,11,2021,194,350,0.45
Cruz De Humilladero,4,14,1,11,2021,93,217,0.57
Alcazaba,4,14,1,11,2021,186,378,0.51
San Juan De La Cruz,4,14,1,11,2021,280,487,0.43
Pz. de la Marina,4,14,1,11,2021,190,430,0.56
Tejón y Rodriguez,4,14,1,11,2021,96,187,0.49
Salitre,3,14,1,11,2021,263,435,0.4
Cervantes,3,14,1,11,2021,286,409,0.3
El Palo,3,14,1,11,2021,80,127,0.37
Av. de Andalucía,3,14,1,11,2021,468,613,0.24
Camas,3,14,1,11,2021,194,350,0.45
Cruz De Humilladero,3,14,1,11,2021,93,217,0.57
Alcazaba,3,14,1,11,2021,186,378,0.51
San Juan De La Cruz,3,14,1,11,2021,279,487,0.43
Pz. de la Marina,3,14,1,11,2021,190,430,0.56
Tejón y Rodriguez,3,14,1,11,2021,84,187,0.55
Salitre,2,14,1,11,2021,263,435,0.4
Cervantes,2,14,1,11,2021,286,409,0.3
El Palo,2,14,1,11,2021,79,127,0.38
Av. de Andalucía,2,14,1,11,2021,468,613,0.24
Camas,2,14,1,11,2021,194,350,0.45
Cruz De Humilladero,2,14,1,11,2021,93,217,0.57
Alcazaba,2,14,1,11,2021,186,378,0.51
San Juan De La Cruz,2,14,1,11,2021,279,487,0.43
Pz. de la Marina,2,14,1,11,2021,0,430,1
Tejón y Rodriguez,2,14,1,11,2021,67,187,0.64
Salitre,1,14,1,11,2021,262,435,0.4
