datetime,area,checkpoint,id,unique_checkpoint,geometry
2021-05-01T00:00:02Z,b,26,b48ab06b45b91ada0aacd160e84b4c3a,b-26,POINT (9.235627777999969 45.49605277999286)
2021-05-01T00:01:59Z,b,26,dd6bb75d79ce96703b6077dd491d55d7,b-26,POINT (9.235627777999969 45.49605277999286)
2021-05-01T00:02:43Z,b,26,3c277ef1965836706fd02a57ef44d79c,b-26,POINT (9.235627777999969 45.49605277999286)
2021-05-01T00:03:40Z,b,26,59fe8d409c426578ac69561970a45437,b-26,POINT (9.235627777999969 45.49605277999286)
2021-05-01T00:05:47Z,b,26,c01adecdba4f47a355cc81a6a77b28bb,b-26,POINT (9.235627777999969 45.49605277999286)
2021-05-01T00:10:04Z,b,26,7fdc8607921e32551f256408ebcb4a96,b-26,POINT (9.235627777999969 45.49605277999286)
2021-05-01T00:11:05Z,b,26,76765c0a99cfd3d09cf3daf3ef7916ee,b-26,POINT (9.235627777999969 45.49605277999286)
2021-05-01T00:11:59Z,b,26,e16f09ee33872c27363896d5f91cbf3a,b-26,POINT (9.235627777999969 45.49605277999286)
2021-05-01T00:12:02Z,b,26,bb4ad8855ba7d6fc93bb3a8271018c9a,b-26,POINT (9.235627777999969 45.49605277999286)
2021-05-01T00:12:14Z,b,26,815683df535924e3eb0e9a16a4e114f6,b-26,POINT (9.235627777999969 45.49605277999286)
2021-05-01T00:12:21Z,b,26,2aa0bf2261fb38ac0fd7f4a7352f06ba,b-26,POINT (9.235627777999969 45.49605277999286)
2021-05-01T00:13:40Z,b,26,1409c05e4454a4d97652234b6cf96511,b-26,POINT (9.235627777999969 45.49605277999286)
2021-05-01T00:13:46Z,b,26,5a560b2412a7a40b7913e4978b9e41c1,b-26,POINT (9.235627777999969 45.49605277999286)
2021-05-01T00:15:20Z,b,26,c50c594e746149b00defad13e69c3561,b-26,POINT (9.235627777999969 45.49605277999286)
2021-05-01T00:16:45Z,b,26,2bb570ca1a9b32bd0ee88d8d6d7f0c8d,b-26,POINT (9.235627777999969 45.49605277999286)
2021-05-01T00:16:53Z,b,26,e7718108d741a2660d134b18cc6de663,b-26,POINT (9.235627777999969 45.49605277999286)
2021-05-01T00:17:01Z,b,26,bbaaf7514cf74b8aa3ac313de3cb0bfa,b-26,POINT (9.235627777999969 45.49605277999286)
2021-05-01T00:18:22Z,b,26,8aa077ee72986533b087eb94cb8a0fcc,b-26,POINT (9.235627777999969 45.49605277999286)
2021-05-01T00:18:26Z,b,26,ea47f6cc840b5218445d741380677e71,b-26,POINT (9.235627777999969 45.49605277999286)
2021-05-01T00:18:38Z,b,26,23bc569a6d4bd0c73bc0cb217685634d,b-26,POINT (9.235627777999969 45.49605277999286)
2021-05-01T00:18:39Z,b,26,3bef4c7db7307c531dd31b4fd3a8c1b1,b-26,POINT (9.235627777999969 45.49605277999286)
2021-05-01T00:18:43Z,b,26,1e2cd7fa37abff08b192ba5a49d6306e,b-26,POINT (9.235627777999969 45.49605277999286)
2021-05-01T00:20:04Z,b,26,645e67f5b0398201a89862a3b5625af4,b-26,POINT (9.235627777999969 45.49605277999286)
2021-05-01T00:20:24Z,b,26,d65b345e680eeaa0a686c9ccdc370ddb,b-26,POINT (9.235627777999969 45.49605277999286)
2021-05-01T00:21:04Z,b,26,d080fdc7635379717e2147a5a1b3dc24,b-26,POINT (9.235627777999969 45.49605277999286)
2021-05-01T00:22:14Z,b,26,3c64e8ca132b5c79cad5230f502c2f69,b-26,POINT (9.235627777999969 45.49605277999286)
2021-05-01T00:25:22Z,b,26,afd24b92d24152058067ba858f76b1b4,b-26,POINT (9.235627777999969 45.49605277999286)
2021-05-01T00:26:45Z,b,26,cde702509882cf3a500a206585d44d9c,b-26,POINT (9.235627777999969 45.49605277999286)
2021-05-01T00:27:21Z,b,26,7fa3809efa8f67b93857f7dcb97efa46,b-26,POINT (9.235627777999969 45.49605277999286)
2021-05-01T00:30:10Z,b,26,c003f97c3d19b45ed0b0b175eb22cc7b,b-26,POINT (9.235627777999969 45.49605277999286)
2021-05-01T00:30:12Z,b,26,783873bc761ee15b5c9269d6556d2bef,b-26,POINT (9.235627777999969 45.49605277999286)
2021-05-01T00:30:22Z,b,26,f4da9026a4468fb8ab4eb2f5b1482a4c,b-26,POINT (9.235627777999969 45.49605277999286)
2021-05-01T00:32:53Z,b,26,1ff0ba7c03c78cf82e567cbb3b4c96cf,b-26,POINT (9.235627777999969 45.49605277999286)
2021-05-01T00:33:22Z,b,26,f750346b20186fe3f05cf447c3d3efeb,b-26,POINT (9.235627777999969 45.49605277999286)
2021-05-01T00:36:46Z,b,26,b525e8b6f2086ff4f80bda66f18edfae,b-26,POINT (9.235627777999969 45.49605277999286)
2021-05-01T00:37:01Z,b,26,389888dc5b31f765de82fe95470c08fe,b-26,POINT (9.235627777999969 45.49605277999286)
2021-05-01T00:37:03Z,b,26,2dbe4842e52aa313177e33e7e507a4c7,b-26,POINT (9.235627777999969 45.49605277999286)
